Order Number,Start Date,End Date,Line,Shift,Posting date,POT Min,POT Hour,Notification Number,Equiment,Group,Description,WERKS CODE,WERKS
10001023,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,10003846,10000940,U-STEAM,UTI_BOILER,A112,Kaduna Noodles
10001023,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,10003849,10000643,U-STEAM,,A112,Kaduna Noodles
10001024,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,10003886,,U-STEAM,,A112,Kaduna Noodles
10001024,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,10003887,,U-STEAM,,A112,Kaduna Noodles
30000756,03/05/2023 00:00,03/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
30000757,03/05/2023 00:00,03/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
30000758,03/05/2023 00:00,03/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
30000759,03/05/2023 00:00,03/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
10001029,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
10001030,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,10004135,10000645,U-STEAM,,A112,Kaduna Noodles
000030000816,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,10004138,,U-STEAM,,A112,Kaduna Noodles
000030000829,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000830,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000831,04/05/2023 00:00,04/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000832,04/05/2023 00:00,04/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000837,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000838,06/05/2023 00:00,06/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,10004263,,U-STEAM,,A112,Kaduna Noodles
000030000839,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000840,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000851,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000852,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000853,06/05/2023 00:00,06/05/2023 00:00,Line 1,1,06/05/2023 00:00,0,0,,,U-STEAM,,A112,Kaduna Noodles
000030000854,07/05/2023 00:00,07/05/2023 00:00,Line 1,2,06/05/2023 00:00,0,0,10004440,10001012,U-STEAM,,A112,Kaduna Noodles
